BankAngle BankDistance Bank_xpos Bank_ypos Bank_zpos
131.035082035 350.817502959 2.64623477185 -0.00904297322071 -2.3031829704
127.444968608 350.939409053 2.78621803989 -0.013993852524 -2.13369165741
123.854991514 350.822486655 2.91340581558 -0.000912801945624 -1.95440718245
120.265005758 350.801855172 3.02988124089 -0.00742723440965 -1.76803808259
116.675034754 350.696039847 3.13369598962 -0.00811281762111 -1.57437443555
113.084935857 350.699551131 3.2261484731 -0.0132523531852 -1.37506651513
109.495004196 350.687786829 3.30580875912 -0.0127594181343 -1.17032389894
105.905025127 350.561447257 3.37139184965 -0.011506013114 -0.960685920604
102.315080565 350.460651126 3.42394686921 -0.0109746498019 -0.74748524577
98.7250299261 350.391008684 3.46335324005 -0.00780641251739 -0.531516030982
95.13495001 349.717530078 3.4831325984 -0.00717567933634 -0.313003028692
91.5450571366 350.239170176 3.50111429079 -0.0053259241611 -0.0944351095661
87.955065465 350.678203487 3.50453971681 -0.00795733361848 0.125133106026
84.3649729823 350.549775589 3.48853341669 -0.0130637924884 0.344206993729
80.7750105318 350.368505358 3.45836782325 -0.00386740283784 0.561681401717
77.1850619633 350.347459607 3.41620389372 -0.00575800745781 0.777079176899
73.5949656675 350.235988533 3.35976887922 -0.00715077230924 0.989154543538
70.0049511778 350.358718928 3.29237939365 -0.0119565836618 1.19800591037
66.4150535659 350.297721543 3.21036381371 -0.00419344707095 1.40156911011
62.8250784907 350.183057851 3.1152731715 -0.00996132909587 1.59930961337
59.2350133165 350.064866974 3.00799476748 -0.0117252461735 1.79063427488
55.6449375702 350.225390094 2.89129678239 -0.00973731832824 1.97638318335
52.0550075784 350.358619676 2.76292420981 -0.00894036963117 2.154364435
48.4650007566 350.240956397 2.62171603943 -0.0120456912143 2.32235498227
44.8750276815 350.201131284 2.47088520218 -0.00599075568002 2.48168766443
41.2850235109 350.338859468 2.31154226199 -0.0112918583284 2.63256082747
37.6950488795 350.240700541 2.14156994789 -0.00906058147102 2.77136264241
34.1050139776 350.291931022 1.9641205607 -0.00896123498282 2.9004471747
30.5150407366 350.057899691 1.77746384376 -0.00910506371999 3.01572424063
26.9249721241 350.22883199 1.58591306436 -0.00868312504708 3.12263155549
23.3350406092 349.922008418 1.38606441652 -0.00531014773993 3.21299524325
19.7449626364 350.005278345 1.18243062048 -0.0112480774034 3.2942526915
16.154923831 349.95056734 0.973685328882 -0.00611769454265 3.36131513135
12.5649709753 350.010309675 0.761435052614 -0.00315860615156 3.4162740481
8.97507637493 349.401431022 0.545080793903 -0.01 3.45122049833
5.38497318311 349.401431022 0.327902139882 -0.01 3.47857962201
-5.38503227339 349.401431022 -0.327905727411 -0.01 3.47857928384
-8.97505571483 349.401431022 -0.545079549438 -0.01 3.45122069488
-12.5649759337 349.401431022 -0.760107950137 -0.01 3.41031844615
-16.1550798463 349.401431022 -0.972164081156 -0.01 3.35602935019
-19.7449359217 350.066053021 -1.18263876805 -0.00600443659408 3.29483742221
-23.3349217167 350.252634182 -1.387366951 -0.00597721666319 3.21603295868
-26.9250194633 349.874946576 -1.58431466481 -0.00722210044314 3.11947795445
-30.5149603324 350.129067357 -1.77781612706 -0.0122383598605 3.01633161667
-34.1050782409 350.127814258 -1.96318867535 -0.0163260390653 2.89906404157
-37.695066238 350.348054834 -2.142222282 -0.0117748544512 2.77220507898
-41.2849603826 349.863331489 -2.30841120301 -0.00526163095443 2.62900078074
-44.8749881857 348.359321466 -2.45789170993 0.0016671025144 2.46864076939
-48.46505985 349.612619114 -2.61701338539 -0.0126483601059 2.31818448448
-52.0549802312 347.330244613 -2.73902628562 -0.0145672321557 2.13573235325
