BankAngle BankDistance Bank_xpos Bank_ypos Bank_zpos
131.035082035 351.343389509 2.65020347699 -0.00801109499926 -2.30663718172
127.444968608 351.425005394 2.79007594069 -0.0131666601967 -2.13664604599
123.854991514 351.305540598 2.91741685635 -0.00221542012048 -1.95709791879
120.265005758 351.22899525 3.03357332251 -0.00565592200127 -1.77019253697
116.675034754 351.120013654 3.13748418395 -0.0082597780327 -1.57627763111
113.084935857 351.107953041 3.22992189757 -0.00709765730653 -1.37667484459
109.495004196 351.07612533 3.3094737746 -0.011455691217 -1.17162138936
105.905025127 350.960260451 3.37522406766 -0.0124966893302 -0.961777920007
102.315080565 350.851119983 3.42775463881 -0.0130902940339 -0.748316523737
98.7250299261 350.864772843 3.46803676102 -0.00748460696028 -0.532234804467
95.13495001 350.180743611 3.48774436122 -0.00800564626616 -0.313417453263
91.5450571366 350.678023954 3.50549201244 -0.00964849640929 -0.0945531892944
87.955065465 351.079537304 3.50855238789 -0.00707960304507 0.125276382472
84.3649729823 350.913358674 3.49214498226 -0.0147667582996 0.344563340072
80.7750105318 350.810070746 3.46272507338 -0.00491638098702 0.562389072644
77.1850619633 350.705596068 3.4196947936 -0.00649934299033 0.777873247068
73.5949656675 350.638746736 3.36363262782 -0.0070867189961 0.990292075498
70.0049511779 350.704652278 3.29562688238 -0.0129579598474 1.19918758181
66.415053566 350.675832264 3.21383113198 -0.00137038244307 1.40308285947
62.8250784908 350.505426861 3.11813836239 -0.0109659904534 1.60078053649
59.2350133166 350.452614144 3.01132114862 -0.0134862337427 1.79261444192
55.6449375702 350.619681639 2.89455756407 -0.00683021702519 1.9786121327
52.0550075784 350.697847362 2.76560182386 -0.0076244296572 2.15645227964
48.4650007566 350.611184757 2.62448689435 -0.0122419617169 2.32480944669
44.8750276815 350.584898685 2.47359401662 -0.00500513420064 2.48440832154
41.285023511 350.712941288 2.314012315 -0.0103954984659 2.63537391244
37.6950488794 350.602029686 2.14377839617 -0.00963559658072 2.77422055096
34.1050139775 350.69980988 1.96640846578 -0.0083288267441 2.90382575947
30.5150407365 350.430032007 1.77935788951 -0.00458452293864 3.01893776292
26.9249721241 350.628442057 1.58772186868 -0.00931048870533 3.12619305553
23.3350406092 350.333365044 1.38769542525 -5.22665223791e-05 3.21677603671
19.7449626364 350.458930256 1.18396323083 -0.0112368309088 3.29852254522
16.154923831 350.39218542 0.974914877441 -0.00413138903207 3.36555972666
12.5649709753 350.502319132 0.7625056417 -0.00150806072544 3.42107738057
8.97507637494 350.379923004 0.546609507352 -0.000779809291594 3.46089966378
5.38497318311 350.543170129 0.328972857243 -0.0125724235816 3.48993842435
-5.38503227339 350.314229015 -0.328763338118 -0.00530569989087 3.48767722447
-8.97505571483 350.608440272 -0.546963298941 -0.00813165259526 3.46314782602
-12.5649759337 350.196552652 -0.761840747613 -0.0015645541092 3.41809285661
-16.1550798463 350.470472236 -0.97514201407 -0.00365120377409 3.36630953895
-19.7449359217 350.658031119 -1.18463971069 -0.0038053218036 3.30041205824
-23.3349217167 350.771059828 -1.38942083163 -0.00540688999739 3.22079402624
-26.9250194634 350.426876621 -1.5868155499 -0.00522281494597 3.1244021378
-30.5149603323 350.67938025 -1.78061175761 -0.0114653966397 3.02107482307
-34.105078241 350.709011855 -1.96645085326 -0.0150104497438 2.90388133844
-37.6950662381 350.945400803 -2.14587800428 -0.0101086007761 2.77693587277
-41.2849603825 350.472696337 -2.3124333743 -0.0033487471311 2.6335815467
-44.8749881857 348.935135487 -2.46195389224 0.00285780146124 2.47272071678
-48.4650598501 350.252960026 -2.62181026157 -0.0112532110793 2.32243361977
-52.0549802311 347.994134335 -2.74426177499 -0.0145668433881 2.13981468137
