#additional runs to fill in some gaps
277523,V-foil_HR__T=300_K__Ei=6.0_meV,,2018-06-26T06:07:57.617944666,2018-06-26T06:46:53.804153666,833.497131958,833.497131958,6.0,58.399983807406471,29833.333333300001,33233.333333299997,300.148902688,300.095,300.2,0.018264095505,300.148902688,300.095,300.2,0.018264095505,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277524,V-foil_HR__T=300_K__Ei=7.9_meV,,2018-06-26T06:47:33.570301666,2018-06-26T07:31:44.335742666,833.492071406,833.492071406,7.9,50.083283408514305,25546.090558799999,28946.090558799999,300.161622067,300.106,300.215,0.018828657516,300.161622067,300.106,300.215,0.018828657516,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277525,V-foil_HF__T=300_K__Ei=10_meV,,2018-06-26T07:32:24.701883666,2018-06-26T08:11:55.704304666,833.409861542,833.409861542,10.0,42.639579614021144,22266.698743699999,25666.698743699999,300.155091241,300.086,300.21,0.0216402418949,300.155091241,300.086,300.21,0.0216402418949,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277526,V-foil_AI__T=300_K__Ei=10_meV,,2018-06-26T08:19:23.731796666,2018-06-26T08:58:38.484429666,833.351265044,833.351265044,10.0,42.639579614021144,22266.698743699999,25666.698743699999,300.161475814,300.098,300.217,0.0233426472896,300.161475814,300.098,300.217,0.0233426472896,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277527,V-foil_HR__T=300_K__Ei=10_meV,,2018-06-26T09:02:01.531783666,2018-06-26T10:14:20.358548666,833.409408886,833.409408886,10.0,42.639579614021144,22266.698743699999,25666.698743699999,300.197325081,300.114,300.333,0.0517292550453,300.197325081,300.114,300.333,0.0517292550453,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277528,V-foil_HF__T=300_K__Ei=11_meV,,2018-06-26T10:15:01.458012666,2018-06-26T10:54:07.644091666,833.347474517,833.347474517,11.0,39.495432019271192,21046.641465699999,24446.641465699999,300.169602205,300.106,300.239,0.0265459751421,300.169602205,300.106,300.239,0.0265459751421,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277529,V-foil_AI__T=300_K__Ei=11_meV,,2018-06-26T11:01:31.371639666,2018-06-26T11:40:38.541038666,833.388197467,833.388197467,11.0,39.495432019271192,21046.641465699999,24446.641465699999,300.152307333,300.099,300.211,0.0163206109661,300.152307333,300.099,300.211,0.0163206109661,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277530,V-foil_HR__T=300_K__Ei=11_meV,,2018-06-26T11:44:06.254996666,2018-06-26T12:47:17.805564666,345.219137792,345.219137792,11.0,39.495432019271192,21046.641465699999,24446.641465699999,300.173428858,300.05,300.324,0.0705542353872,300.173428858,300.05,300.324,0.0705542353872,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,

#fill in runs for HF
